sector,year,month,quarter,year_month,avg_close,avg_daily_return,avg_volatility,avg_rsi,max_drawdown,total_volume,ticker_count,avg_ma50,avg_ma200
Financials,2021,6,2,2021-06,169.375,-0.0772,1.2768,45.7821,-11.1271,1402763100,3,164.0102,131.2124
Financials,2021,7,3,2021-07,166.9596,-0.1503,1.5919,47.8044,-14.6522,1394804200,3,168.0583,139.0229
Financials,2021,8,3,2021-08,177.9989,0.3721,1.5063,64.9559,-12.2718,1253363800,3,169.4368,147.2244
Financials,2021,9,3,2021-09,177.7903,-0.0592,1.2639,46.9994,-10.013,1308099300,3,174.4471,155.3622
Financials,2021,10,4,2021-10,182.6961,0.4085,1.5754,64.4563,-10.4177,1201362400,3,178.5349,161.8037
Financials,2021,11,4,2021-11,182.9815,-0.3402,1.3612,44.7854,-10.1121,1149922400,3,181.324,167.3879
Financials,2021,12,4,2021-12,176.3374,0.028,1.515,43.8626,-11.8624,1366966300,3,181.713,171.1356
Financials,2022,1,1,2022-01,172.0211,-0.1385,1.8121,49.7878,-19.1153,1685199100,3,178.6173,173.425
Financials,2022,2,1,2022-02,166.5142,-0.2095,1.8621,50.7314,-19.3145,1285725600,3,173.0375,174.4653
Financials,2022,3,1,2022-03,154.1366,-0.1656,2.0884,43.0609,-24.8637,1771761400,3,164.8509,173.4664
Financials,2022,4,2,2022-04,147.6826,-0.5618,1.9206,33.741,-29.5811,1396404700,3,156.7487,171.7033
Financials,2022,5,2,2022-05,142.051,0.368,1.9869,44.5759,-31.0945,1472278500,3,149.0516,169.2487
Financials,2022,6,2,2022-06,137.11,-0.6595,2.1367,39.6306,-36.2852,1320298500,3,143.737,165.4813
Financials,2022,7,3,2022-07,137.6456,0.4045,2.0259,53.8615,-38.3319,1107468800,3,138.5855,161.0237
Financials,2022,8,3,2022-08,149.7248,-0.0102,1.8009,61.5059,-33.1246,1119242200,3,140.0638,157.1023
Financials,2022,9,3,2022-09,142.2677,-0.4787,1.5629,38.0405,-37.8028,1149688400,3,145.2557,153.2286
Financials,2022,10,4,2022-10,141.5157,0.8784,2.2266,55.1503,-38.7716,1349191900,3,144.0673,149.1227
Financials,2022,11,4,2022-11,166.4252,0.4274,2.0325,76.904,-26.0587,981697100,3,146.4252,147.3156
Financials,2022,12,4,2022-12,159.9754,-0.4265,1.4715,35.0617,-34.3092,1137587200,3,156.7683,147.5332
Financials,2023,1,1,2023-01,162.0047,0.3158,1.3798,62.7508,-31.1386,1091848600,3,162.7102,148.0763
Financials,2023,2,1,2023-02,167.6722,-0.0811,1.3304,55.9361,-25.8285,829965600,3,162.5782,149.724
Financials,2023,3,1,2023-03,151.2799,-0.4574,1.7165,31.0968,-36.7898,2591142100,3,162.1081,151.5603
Financials,2023,4,2,2023-04,154.203,0.2563,2.1214,65.7153,-29.7649,1312996800,3,156.864,152.8661
Financials,2023,5,2,2023-05,152.2151,-0.1738,1.587,44.79,-28.8626,1323186000,3,152.3365,154.5471
Financials,2023,6,2,2023-06,154.8836,0.1753,1.39,55.966,-26.2759,1229721400,3,153.6687,155.0392
Financials,2023,7,3,2023-07,162.1153,0.5051,1.3387,66.8098,-24.8678,1253587700,3,154.7152,156.3178
Financials,2023,8,3,2023-08,161.481,-0.359,1.3178,36.9549,-24.4427,1018370300,3,159.8372,158.8991
Financials,2023,9,3,2023-09,158.623,-0.1076,1.0643,48.6448,-27.2152,983922600,3,161.4672,158.4078
Financials,2023,10,4,2023-10,149.698,-0.1955,1.1782,36.2248,-32.573,1518512800,3,157.5433,157.6406
Financials,2023,11,4,2023-11,160.373,0.6392,1.58,69.6014,-29.2779,1094578700,3,154.5562,156.7
Financials,2023,12,4,2023-12,178.334,0.523,1.3766,78.5948,-14.3851,1092694000,3,159.3623,157.0165
Financials,2024,1,1,2024-01,186.0681,0.0637,1.2375,54.2924,-11.02,1218451600,3,173.1048,160.3876
Financials,2024,2,1,2024-02,190.1343,0.1842,1.0739,60.4813,-7.4865,947439700,3,183.8508,163.9122
Financials,2024,3,1,2024-03,198.9691,0.4048,1.0718,70.029,-2.2407,1038978400,3,189.8587,168.0515
Financials,2024,4,2,2024-04,204.2359,-0.0492,1.3364,50.7883,-9.5704,1183892100,3,196.7718,173.0679
Financials,2024,5,2,2024-05,220.6547,0.3202,1.4273,70.1414,-4.4973,965329700,3,206.0105,178.6588
Financials,2024,6,2,2024-06,221.4669,-0.012,1.2102,48.5691,-6.4749,910627000,3,214.9333,184.8381
Financials,2024,7,3,2024-07,236.5515,0.2958,1.3152,66.1261,-8.6562,1117999500,3,224.0515,192.0677
Financials,2024,8,3,2024-08,239.2638,0.1259,1.7333,52.9023,-16.9499,1110895800,3,231.4008,201.4902
